deadline_gap,time/time_elapsed,workload_gap,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,balance_punishement,rollout/ep_rew_mean,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate
-0.13668135034705098,8,-0.05286882545691208,1024,119,20.0,1,0.0,-18.95501756862745,,,,,,,,,,
-0.12492785050445696,27,-0.05519980800461016,2048,74,20.0,2,0.0,-18.01276581,36.046287536621094,0.003788590431213379,87.45531818866729,-2.0733849085867404,0.0028590874,0.00810546875,10,-0.007316090402309783,0.2,0.0001
-0.10904028328849696,44,-0.05995673694972689,3072,69,20.0,3,0.0,-16.89970203,18.644710540771484,0.004718005657196045,52.881427919864656,-2.066518485546112,0.0068701254,0.02119140625,20,-0.012024152200319804,0.2,0.0001
-0.10527890222100397,57,-0.06279610640548648,4096,71,20.0,4,0.0,-16.81715641,18.26445770263672,-0.0005664825439453125,41.21872648000717,-2.047758327424526,0.0077108596,0.02431640625,30,-0.011159489085548558,0.2,0.0001
-0.09446717549554165,73,-0.05896370197260336,5120,69,20.0,5,0.0,-15.35274328,11.789173126220703,-0.00039458274841308594,34.37451680898666,-2.008802182972431,0.010560183,0.0791015625,40,-0.016746061149751766,0.2,0.0001
-0.07827190511041134,90,-0.06048715776876552,6144,68,20.0,6,0.0,-13.883117370000003,8.008995056152344,-0.00021922588348388672,18.792110407352446,-1.9647267825901509,0.009210693,0.087109375,50,-0.019211218476993964,0.2,0.0001
-0.07283154184150901,112,-0.061162157967278336,7168,63,20.0,7,0.0,-13.406581059999999,4.0118608474731445,-0.0002510547637939453,13.183087864518166,-1.9306446768343448,0.010176028,0.1322265625,60,-0.024229422412463463,0.2,0.0001
-0.06391866803593146,128,-0.0562427742085068,8192,63,20.0,8,0.0,-12.02510565,4.9341840744018555,-4.780292510986328e-05,7.680516716837883,-1.8735304184257984,0.011887153,0.19921875,70,-0.030755370183032937,0.2,0.0001
-0.05378130005892481,142,-0.05512373354990245,9216,64,20.0,9,0.0,-10.915606720000001,5.853091716766357,-0.00012171268463134766,11.108036834001542,-1.8054841741919518,0.011835843,0.13037109375,80,-0.026359654578845947,0.2,0.0001
-0.04724602964406079,159,-0.05517079479371003,10240,64,20.0,10,0.0,-10.286461119999998,4.857949256896973,0.0023456215858459473,8.113475912809372,-1.7669129081070423,0.0091112675,0.07255859375,90,-0.020515782842994667,0.2,0.0001
-0.042321176820352184,185,-0.050358761588966995,11264,60,20.0,11,0.0,-9.33109101,2.487248182296753,0.05316847562789917,5.468713422119618,-1.6758730299770832,0.009955188,0.09248046875,100,-0.01861473518802086,0.2,0.0001
-0.03831539839754377,207,-0.04985246731342822,12288,59,20.0,12,0.0,-8.85124704,2.066831111907959,0.12936127185821533,4.668213246762752,-1.6430396355688572,0.0031119217,0.01044921875,110,-0.008933078905101866,0.2,0.0001
-0.03523494617694225,223,-0.0533604479161361,13312,59,20.0,13,0.0,-8.874969490000002,1.9422043561935425,0.06722366809844971,4.823383858799934,-1.591988092660904,0.007469663,0.03154296875,120,-0.012770453927805648,0.2,0.0001
-0.03347594117456271,245,-0.05015948412637455,14336,58,20.0,14,0.0,-8.391898529999999,2.1025431156158447,0.12374162673950195,5.99308767914772,-1.5435469016432761,0.0034584757,0.01376953125,130,-0.00856748769292608,0.2,0.0001
-0.03145863447975789,269,-0.05005328175124455,15360,56,20.0,15,0.0,-8.209601150000001,2.0205726623535156,0.1595286726951599,4.183085538446903,-1.483605144917965,0.005739957,0.0400390625,140,-0.012258019763976336,0.2,0.0001
-0.027980247004752098,289,-0.05153533112048413,16384,56,20.0,16,0.0,-8.007826810000001,2.6933753490448,0.11001425981521606,4.625836861133576,-1.4725331746041774,0.0027343207,0.01357421875,150,-0.005908130671014078,0.2,0.0001
-0.02863516681762056,315,-0.049816741974512906,17408,55,20.0,17,0.0,-7.8633524999999995,1.8000295162200928,0.13548064231872559,3.600008727610111,-1.4482539653778077,0.007540445,0.03583984375,160,-0.013988970589707606,0.2,0.0001
-0.025184288811377718,330,-0.04985793946773866,18432,55,20.0,18,0.0,-7.563215929999999,3.2777020931243896,0.19549685716629028,6.058457089960575,-1.387302265316248,0.0034916056,0.02099609375,170,-0.008252422261284665,0.2,0.0001
